规则ID,描述,Commit,文件位置,凭证,密码强度,香农熵,匹配内容,开始行,结束行,开始列,结束列,提交者,提交信息,提交时间,邮箱,Commit指纹
jwt,JWT--JSON Web Token,,repos/nogit/other_accessKey.py,"eyJhbGciOieeeiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwic3ViZSI6IjEyMzQ1Njc4OTAiLCJuYW1lZWEiOiJKb2huIERvZSIsInN1ZmV3YWZiIjoiMTIzNDU2Nzg5MCIsIm5hbWVmZWF3ZnciOiJKb2huIERvZSIsIm5hbWVhZmV3ZmEiOiJKb2huIERvZSIsInN1ZndhZndlYWIiOiIxMjM0NTY3ODkwIiwibmFtZWZ3YWYiOiJKb2huIERvZSIsInN1YmZ3YWYiOiIxMjM0NTY3ODkwIiwibmFtZndhZSI6IkpvaG4gRG9lIiwiaWZ3YWZhYXQiOjE1MTYyMzkwMjJ9.a_5icKBDo-8EjUlrfvz2k2k-FYaindQ0DEYNrlsnRG0""",0,5.48,"eyJhbGciOieeeiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwic3ViZSI6IjEyMzQ1Njc4OTAiLCJuYW1lZWEiOiJKb2huIERvZSIsInN1ZmV3YWZiIjoiMTIzNDU2Nzg5MCIsIm5hbWVmZWF3ZnciOiJKb2huIERvZSIsIm5hbWVhZmV3ZmEiOiJKb2huIERvZSIsInN1ZndhZndlYWIiOiIxMjM0NTY3ODkwIiwibmFtZWZ3YWYiOiJKb2huIERvZSIsInN1YmZ3YWYiOiIxMjM0NTY3ODkwIiwibmFtZndhZSI6IkpvaG4gRG9lIiwiaWZ3YWZhYXQiOjE1MTYyMzkwMjJ9.a_5icKBDo-8EjUlrfvz2k2k-FYaindQ0DEYNrlsnRG0""",3,3,9,438,,,,,
hubspot-api-key,应用凭证--HubSpot API Token,,repos/nogit/other_accessKey.py,12345678-ABCD-ABCD-ABCD-1234567890AB,0,3.79,"hubspotKey = ""12345678-ABCD-ABCD-ABCD-1234567890AB""",1,1,1,51,,,,,
generic-tencent-connect-key-id,应用凭证--Tencent Connect Secret,,repos/nogit/per.py,EYazUTAcLoRitUQorm16aP7IjaUvymHA,0,4.52,"EYazUTAcLoRitUQorm16aP7IjaUvymHA",18,18,34,66,,,,,
rapidapi-access-token,编程语言凭证--RapidAPI Access Token,,repos/nogit/RapidAPI.java,y4hE9tN3qU1zC5xR8wS7vG0fJ6kL5oP4aQ2sD1fG8hJ9kL0oP3,0,5.04,"rapidapi = ""y4hE9tN3qU1zC5xR8wS7vG0fJ6kL5oP4aQ2sD1fG8hJ9kL0oP3""",13,13,14,76,,,,,
rapidapi-access-token,编程语言凭证--RapidAPI Access Token,,repos/nogit/RapidAPI.java,a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6q7r8s9t0u1v2w3x4y5,0,4.97,"rapidapi: ""a1b2c3d4e5f6g7h8i9j0k1l2m3n4o5p6q7r8s9t0u1v2w3x4y5""",14,14,14,75,,,,,
netlify-access-token,应用凭证--Netlify Access Token,,repos/nogit/netlify.c,fH9XJ1L7IeP6eI2Q2yW1C8KvF7X9C5N1mZmOMgHv,0,4.70,"netlify1 = ""fH9XJ1L7IeP6eI2Q2yW1C8KvF7X9C5N1mZmOMgHv""",10,10,10,62,,,,,
netlify-access-token,应用凭证--Netlify Access Token,,repos/nogit/netlify.c,zU5WkK8q6qptNf4naypn4drWJc8RhvQGJy0fzr7E,0,4.77,"netlify-2 = ""zU5WkK8q6qptNf4naypn4drWJc8RhvQGJy0fzr7E""",11,11,10,63,,,,,
netlify-access-token,应用凭证--Netlify Access Token,,repos/nogit/netlify.c,y98jKvjP7Szbc3MY8zA63qyivxgub1tUL76HtMye,0,4.70,"netlify_3 = ""y98jKvjP7Szbc3MY8zA63qyivxgub1tUL76HtMye""",12,12,10,63,,,,,
postman-api-token,测试阶段API--Postman API token,,repos/nogit/postmanToken.java,PMAK-1234abcd1234abcd1234abcd-1234abcd1234abcd1234abcd1234abcd12,0,3.38,"PMAK-1234abcd1234abcd1234abcd-1234abcd1234abcd1234abcd1234abcd12""",9,9,20,84,,,,,
postman-api-token,测试阶段API--Postman API token,,repos/nogit/postmanToken.java,PMAK-abcd1234abcd1234abcd1234-1234abcd1234abcd1234abcd1234abcd12,0,3.38,"PMAK-abcd1234abcd1234abcd1234-1234abcd1234abcd1234abcd1234abcd12""",10,10,20,84,,,,,
generic-high-checkout,高长度凭证检出,,repos/nogit/3jge.java,storepass_client_123456,7,4.06,"= ""storepass_client_123456""",27,27,28,54,,,,,
generic-high-checkout,高长度凭证检出,,repos/nogit/3jge.java,trust_client_123456,7,3.89,"= ""trust_client_123456""",28,28,33,55,,,,,
generic-high-checkout,高长度凭证检出,,repos/nogit/3jge.java,wx541e206dd166434a,6,3.42,"= ""wx541e206dd166434a""",93,93,18,39,,,,,
private-key,证书--Private Key,,repos/nogit/private-key.java,"-----BEGIN RSA PRIVATE KEY-----\n"" +
                ""MIICXAIBAAKBgQDdlatRjRjogo3WojgGHFHYLugdUWAY9iR3fy4arWNA1KoS8kVw\n"" +
                ""KEY----",0,4.71,"-----BEGIN RSA PRIVATE KEY-----\n"" +
                ""MIICXAIBAAKBgQDdlatRjRjogo3WojgGHFHYLugdUWAY9iR3fy4arWNA1KoS8kVw\n"" +
                ""KEY----",12,14,36,25,,,,,
pulumi-api-token,编程语言凭证--Pulumi API token,,repos/nogit/pulumi.java,pul-1234abcd1234ab34abcd1234abcd1234abcd1234,0,3.34,"pul-1234abcd1234ab34abcd1234abcd1234abcd1234""",13,13,15,59,,,,,
pulumi-api-token,编程语言凭证--Pulumi API token,,repos/nogit/pulumi.java,pul-abcd1234abcd12cd1234abcd1234abcd1234abcd,0,3.34,"pul-abcd1234abcd12cd1234abcd1234abcd1234abcd""",14,14,15,59,,,,,
pulumi-api-token,编程语言凭证--Pulumi API token,,repos/nogit/pulumi.java,pul-5678abcd5678abcdabcd5678abcd5678abcd5678,0,3.35,"pul-5678abcd5678abcdabcd5678abcd5678abcd5678""",15,15,15,59,,,,,
atlassian-api-token,应用凭证--Atlassian API token,,repos/nogit/qwe.kt,ab12cd34ef56gh78ij90kl12,0,4.42,"jira=ab12cd34ef56gh78ij90kl12""",2,2,7,36,,,,,
atlassian-api-token,应用凭证--Atlassian API token,,repos/nogit/qwe.kt,xy12ab34cd56ef78gh90ij12,0,4.42,"atlassian=xy12ab34cd56ef78gh90ij12""",3,3,11,45,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,qazwsxedc,0,3.17,"  ""qazwsxedc""",5,5,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,rfvgy7ujm,3,3.17,"  ""rfvgy7ujm""",6,6,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,4r5t6y7u8,4,3.17,"  ""4r5t6y7u8""",7,7,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,1q2w3e4r5,4,3.17,"  ""1q2w3e4r5""",8,8,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,qwertyuiop,0,3.32,"  ""qwertyuiop""",9,9,12,25,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,bgt5nhy6,3,3.00,"  ""bgt5nhy6""",10,10,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,mko9ijn8uh,3,3.32,"  ""mko9ijn8uh""",11,11,12,25,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,7ujm6yhn,3,3.00,"  ""7ujm6yhn""",12,12,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,3edc4rfv,3,3.00,"  ""3edc4rfv""",13,13,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,hnjimko0,3,3.00,"  ""hnjimko0""",14,14,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,zaxscd5tgb,3,3.32,"  ""zaxscd5tgb""",15,15,12,25,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,2wsx3edc,3,3.00,"  ""2wsx3edc""",16,16,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,rfvbgt5t6,3,2.95,"  ""rfvbgt5t6""",17,17,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,yhn7ujm8,3,3.00,"  ""yhn7ujm8""",18,18,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,1q2w3e4r,4,3.00,"  ""1q2w3e4r""",19,19,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,5tgb6yhn7,4,3.17,"  ""5tgb6yhn7""",20,20,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,xsw23edc,3,3.00,"  ""xsw23edc""",21,21,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,4rfv5tgb,3,3.00,"  ""4rfv5tgb""",22,22,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,nhy6t5g4,4,3.00,"  ""nhy6t5g4""",23,23,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,7ujm8ikl,3,3.00,"  ""7ujm8ikl""",24,24,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,edc4rfv5,3,3.00,"  ""edc4rfv5""",25,25,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,2wsx3ed4,4,3.00,"  ""2wsx3ed4""",26,26,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,rfv5tgb6,3,3.00,"  ""rfv5tgb6""",27,27,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,qaz2wsx3,3,3.00,"  ""qaz2wsx3""",28,28,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,edc4rfv5t,3,3.17,"  ""edc4rfv5t""",29,29,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,yhn6yhn7u,3,2.50,"  ""yhn6yhn7u""",30,30,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,zxcvbnm1,3,3.00,"  ""zxcvbnm1""",31,31,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,6yhn7ujm,3,3.00,"  ""6yhn7ujm""",32,32,12,23,,,,,
pypi-upload-token,编程语言凭证--PyPI upload token,,repos/nogit/pypi.java,pypi-AgEIcHlwaS5vcmcabcdefghijklmnoprstuvwxyzABCDEFGabcdef1234-ageichlwas5vcmc,0,5.08,pypi-AgEIcHlwaS5vcmcabcdefghijklmnoprstuvwxyzABCDEFGabcdef1234-ageichlwas5vcmc,13,13,15,92,,,,,
mailgun-signing-key,webhook--Mailgun webhook signing key,,repos/nogit/webhook.java,12345678901234567890123456789012-12345678-12345678,0,3.40,"mailgun: 12345678901234567890123456789012-12345678-12345678""",11,11,15,74,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/small/mima.go,1qaz@WSX,7,3.00,"= ""1qaz@WSX""",3,3,17,28,,,,,
codecov-access-token,应用凭证--Codecov Access Token,,tmp/codeCOV.php,4fc0fb736fc32f16fc1f9b2666d1ce40,0,3.44,codecov0=4fc0fb736fc32f16fc1f9b2666d1ce40;,3,3,2,43,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/small/api/api.go,1qaz@WSX,7,3.00,= '1qaz@WSX',7,7,18,29,,,,,
facebook,应用凭证--Facebook,,tmp/FB_key.js,43b95fc3730122fc3d3fc5e2f5b5e5d7,0,3.48,facebook0 = 43b95fc3730122fc3d3fc5e2f5b5e5d7',2,2,7,51,,,,,
generic-high-checkout,高长度凭证检出,,tmp2/a.java,ImThEPaSsWoRd@3456!,12,4.25,"= ""ImThEPaSsWoRd@3456!""",2,2,11,33,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,tmp2/a.java,p@ssword!,4,2.95,"= ""p@ssword!""",3,3,11,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,tmp2/a.java,password,0,2.75," password""",5,5,20,29,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,3edc4rfv5,4,3.17,"  ""3edc4rfv5""",33,33,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,2wsx3ed4r,4,3.17,"  ""2wsx3ed4r""",34,34,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,fv5tgb6y,3,3.00,"  ""fv5tgb6y""",35,35,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,hn7ujm8i,3,3.00,"  ""hn7ujm8i""",36,36,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,qwertyuio,0,3.17,"  ""qwertyuio""",37,37,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,bgtvfr4e3,3,3.17,"  ""bgtvfr4e3""",38,38,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,mko0nhy6,3,3.00,"  ""mko0nhy6""",39,39,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,3edc2wsx,3,3.00,"  ""3edc2wsx""",40,40,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,5tgb6yhn,3,3.00,"  ""5tgb6yhn""",41,41,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,edc4rfvb,3,3.00,"  ""edc4rfvb""",42,42,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,7ujm8ik9,4,3.00,"  ""7ujm8ik9""",43,43,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,2wsx3edc4,4,3.17,"  ""2wsx3edc4""",44,44,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,rfv5tgb6y,3,3.17,"  ""rfv5tgb6y""",45,45,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,hn7ujm8i9,4,3.17,"  ""hn7ujm8i9""",46,46,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,zaxscd5t,3,3.00,"  ""zaxscd5t""",47,47,12,23,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,mko9ijn8u,3,3.17,"  ""mko9ijn8u""",48,48,12,24,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/nogit/walk.java,1q2w3e4r,4,3.00,"  ""1q2w3e4r""",49,49,12,23,,,,,
pypi-upload-token,编程语言凭证--PyPI upload token,,repos/nogit/pypi.java,pypi-AgEIcHlwaS5vcmc1234567890abcdefghijklmnoprstuvwxyzABCDEFGabcdef-pypi-ageichlwas5vcmc,0,5.22,pypi-AgEIcHlwaS5vcmc1234567890abcdefghijklmnoprstuvwxyzABCDEFGabcdef-pypi-ageichlwas5vcmc,14,14,15,103,,,,,
pypi-upload-token,编程语言凭证--PyPI upload token,,repos/nogit/pypi.java,pypi-AgEIcHlwaS5vcmc1234567890abcdefghijklmnoprstuvwxyzABCDEFGabcdef1234-pypi-ageichlwas5vcmc,0,5.25,pypi-AgEIcHlwaS5vcmc1234567890abcdefghijklmnoprstuvwxyzABCDEFGabcdef1234-pypi-ageichlwas5vcmc,15,15,15,107,,,,,
mailgun-signing-key,webhook--Mailgun webhook signing key,,repos/nogit/webhook.java,abcdefabcdefabcdefabcdefabcdefab-abcdefab-abcdefab,0,2.70,"mailgun: abcdefabcdefabcdefabcdefabcdefab-abcdefab-abcdefab""",13,13,15,74,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/small/mima.go,P@ssWord,5,2.75,"= ""P@ssWord""",4,4,17,28,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/small/mima.go,1QAZzaq1,6,2.75,"= ""1QAZzaq1""",9,9,17,28,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/small/mima.go,ShenYanjian@123,10,3.46,"= ""ShenYanjian@123""",10,10,17,35,,,,,
generic-high-checkout,高长度凭证检出,,repos/small/mima.go,ShenYanjian$okjw,7,3.45,"= ""ShenYanjian$okjw""",11,11,17,36,,,,,
generic-high-checkout,高长度凭证检出,,repos/small/mima.go,ShenYanjianLove123,9,3.68,"= ""ShenYanjianLove123""",12,12,17,38,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/small/api/api.go,1qaz@WSX,7,3.00,"= ""1qaz@WSX""",8,8,18,29,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/small/api/api.go,P@ssWord,5,2.75,"= ""P@ssWord""",9,9,18,29,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/small/api/api.go,1QAZzaq1,6,2.75,"= ""1QAZzaq1""",12,12,18,29,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/small/api/api.go,ShenYanjian@123,10,3.46,"= ""ShenYanjian@123""",13,13,18,36,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/small/api/api.go,1qaz@WSX,7,3.00,"= ""1qaz@WSX""",16,16,18,29,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/small/api/api.go,1qaz@WSX,7,3.00,"= ""1qaz@WSX""",17,17,18,29,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/small/api/api.go,1qaz@WSX,7,3.00,"= ""1qaz@WSX""",18,18,18,29,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,repos/small/api/api.go,1qaz@WSX,7,3.00,"= ""1qaz@WSX""",19,19,18,29,,,,,
facebook,应用凭证--Facebook,,tmp/FB_key.js,508cfb13d6785a6f31b6d66c24d1e9b8,0,3.79,facebook1:= 508cfb13d6785a6f31b6d66c24d1e9b8',3,3,7,51,,,,,
codecov-access-token,应用凭证--Codecov Access Token,,tmp/codeCOV.php,9a3d3f2e694a23f16e8f20b0d1a1a620,0,3.57,"codecov1 = ""9a3d3f2e694a23f16e8f20b0d1a1a620""",5,5,2,46,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,tmp/note.txt,1qaz@WSX,7,3.00,"=1qaz@WSX",5,5,7,16,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,tmp/note.txt,RFV5tgb,6,2.81,"=$RFV5tgb",6,6,10,19,,,,,
debit_card_account_number,"借记卡号,银联",,tmp/note.txt,6222025642650612529,0,2.44,"=""6222025642650612529""",28,28,8,29,,,,,
idcard,身份证号,,tmp/note.txt,141181199904230017,0,2.67,"=141181199904230017",12,12,8,27,,,,,
idcard,身份证号,,tmp/note.txt,14118119990423001x,0,2.67,"=14118119990423001x",14,14,8,27,,,,,
idcard,身份证号,,tmp/note.txt,14118119990423001X,0,2.67,"=14118119990423001X",15,15,8,27,,,,,
generic-high-checkout,高长度凭证检出,,tmp/note.txt,dolphininschedual123,6,3.82,"= ""dolphininschedual123""",3,3,11,34,,,,,
tencent QQ,腾讯QQ,,tmp/note.txt,2409879947,0,2.45,"=2409879947",16,16,4,15,,,,,
tencent QQ,腾讯QQ,,tmp/note.txt,479861969,0,2.42,"= ""479861969""",17,17,5,17,,,,,
generic-high-checkout,高长度凭证检出,,repos/small/api/api.go,ShenYanjian$okjw,7,3.45,"= ""ShenYanjian$okjw""",14,14,18,37,,,,,
generic-high-checkout,高长度凭证检出,,repos/small/api/api.go,ShenYanjianLove123,9,3.68,"= ""ShenYanjianLove123""",15,15,18,39,,,,,
generic-high-checkout,高长度凭证检出,,repos/small/api/api.go,ShenYanjianLove123,9,3.68,"= ""ShenYanjianLove123""",20,20,18,39,,,,,
generic-high-checkout,高长度凭证检出,,repos/small/api/api.go,ShenYanjianLove123,9,3.68,"= ""ShenYanjianLove123""",21,21,18,39,,,,,
generic-high-checkout,高长度凭证检出,,repos/small/api/api.go,ShenYanjianLove123,9,3.68,"= ""ShenYanjianLove123""",22,22,18,39,,,,,
hash,常见哈希值,,tmp/FB_key.js,43b95fc3730122fc3d3fc5e2f5b5e5d7,0,3.48," = 43b95fc3730122fc3d3fc5e2f5b5e5d7'",2,2,16,51,,,,,
hash,常见哈希值,,tmp/FB_key.js,508cfb13d6785a6f31b6d66c24d1e9b8,0,3.79,:= 508cfb13d6785a6f31b6d66c24d1e9b8',3,3,16,51,,,,,
codecov-access-token,应用凭证--Codecov Access Token,,tmp/codeCOV.php,d9b9db635a1666dc01ddba4a8d1314b4,0,3.34,"codecov-2=""d9b9db635a1666dc01ddba4a8d1314b4""",6,6,2,45,,,,,
codecov-access-token,应用凭证--Codecov Access Token,,tmp/codeCOV.php,12ab34cd56ef78gh90ij12kl34mn56op,0,4.62,"codecov: 12ab34cd56ef78gh90ij12kl34mn56op",7,7,2,43,,,,,
codecov-access-token,应用凭证--Codecov Access Token,,tmp/codeCOV.php,2ba2e50b857d9e0ee6c0f1b2448a9657,0,3.78,"codecov_3 = ""2ba2e50b857d9e0ee6c0f1b2448a9657""",9,9,2,47,,,,,
hash,常见哈希值,,tmp/codeCOV.php,4fc0fb736fc32f16fc1f9b2666d1ce40,0,3.44,=4fc0fb736fc32f16fc1f9b2666d1ce40;,3,3,10,43,,,,,
hash,常见哈希值,,tmp/codeCOV.php,9a3d3f2e694a23f16e8f20b0d1a1a620,0,3.57,"= ""9a3d3f2e694a23f16e8f20b0d1a1a620""",5,5,11,46,,,,,
hash,常见哈希值,,tmp/codeCOV.php,d9b9db635a1666dc01ddba4a8d1314b4,0,3.34,"=""d9b9db635a1666dc01ddba4a8d1314b4""",6,6,11,45,,,,,
hash,常见哈希值,,tmp/codeCOV.php,2ba2e50b857d9e0ee6c0f1b2448a9657,0,3.78,"= ""2ba2e50b857d9e0ee6c0f1b2448a9657""",9,9,12,47,,,,,
